family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
frontend-design	53	xenitV1/claude-code-maestro	skills/frontend-design/SKILL.md	main	https://github.com/xenitV1/claude-code-maestro/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.411	1	1	-0.46614746891094083	5	6	1	0	0	0	do not use		1.833	++ | <domain_overview> | # Frontend Design System	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				PARTIAL	
frontend-design	54	benshapyro/cadre-devkit-claude	skills/frontend-design/SKILL.md	main	https://github.com/benshapyro/cadre-devkit-claude/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.452	1	1	-0.6740359251350333	11	5	0	1	1	0			1.333	++ | # Frontend Design Skill | Create distinctive, memorable user interfaces that avoid generic AI aesthetics.	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add pre-implementation planning checklist			PARTIAL	
frontend-design	55	anphuc2005/ImageSharpenAI	ImageSharpenAI/.agents/skills/frontend-design/SKILL.md	main	https://github.com/anphuc2005/ImageSharpenAI/blob/main/ImageSharpenAI/.agents/skills/frontend-design/SKILL.md	routing-specialization	0.498	1	1	10.017836955156387	122	6	6	0	1	0	do not use; owns		1.049	++ | > **Style variants & tools** — read the matching file only when the brief calls for it: | >	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Add style-variant routing table and brief inference (in absorber mega-file)			MAYBE	
frontend-design	56	rahmanqolbi/portofolio-rhmnq	.agents/skills/frontend-design/SKILL.md	main	https://github.com/rahmanqolbi/portofolio-rhmnq/blob/main/.agents/skills/frontend-design/SKILL.md	routing-specialization	0.431	1	1	-0.6106016832056275	6	6	0	1	1	0	do not use		2.0	++ | # Flagship Frontend Design Skill (Official Blueprint) | This skill guides the creation of distinctive, production-grade web interfaces that completely avoid the generic, boring	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add 5-section flagship blueprint			PARTIAL	
frontend-design	57	duyet/skills	frontend-design/SKILL.md	master	https://github.com/duyet/skills/blob/master/frontend-design/SKILL.md	routing-specialization	0.43	1	1	1.544403969350584	39	6	2	0	0	0	don't use; owns		1.154	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | ## When to Invoke This Skill"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add technology-stack priority ordering rules			YES	
frontend-design	58	zszz3/AgentRecall	apps/main-2.0/src/automation/engine/shared/bundled-skills/frontend-design/SKILL.md	main	https://github.com/zszz3/AgentRecall/blob/main/apps/main-2.0/src/automation/engine/shared/bundled-skills/frontend-design/SKILL.md	compact-rewrite	0.456	1	1	-0.7548046727798016	5	5	0	0	0	0			1.667	++ | Create interfaces with a clear point of view instead of assembling familiar defaults. | ## Before coding	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add verify + visual-discipline output contract			YES	
frontend-design	59	Abdullahmohammadaref/acar	.agents/skills/frontend-design/SKILL.md	master	https://github.com/Abdullahmohammadaref/acar/blob/master/.agents/skills/frontend-design/SKILL.md	compact-rewrite	0.412	1	1	-0.5753046099736214	8	6	0	1	0	0			1.75	"++ | This skill guides the creation of production-grade financial interfaces that avoid ""generic dashboard"" aesthetics. It pr | ## Design Thinking for Finance"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add finance-domain-specific design rules			YES	
frontend-design	60	Marcus-Mok-GH/Summachat-V2	.cursor/skills/frontend-design/SKILL.md	main	https://github.com/Marcus-Mok-GH/Summachat-V2/blob/main/.cursor/skills/frontend-design/SKILL.md	compact-rewrite	0.48	1	1	-0.9687225222961939	3	5	0	0	0	0			1.333	++ | ## Overview | Make the AI very good in frontend design, making it user, mobile, desktop and device friendly	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	NO				NO	
frontend-design	61	IncomeStreamSurfer/claude-skills-collection	skills/frontend-design/SKILL.md	main	https://github.com/IncomeStreamSurfer/claude-skills-collection/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.418	1	1	-0.7058158522798643	9	6	0	0	1	0			1.667	++ | # Frontend Design Skill | ## Core Principle	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	62	OpenBMB/PilotDeck	skills/frontend-design/SKILL.md	main	https://github.com/OpenBMB/PilotDeck/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.36	1	1	-0.8591885441527446	3	5	0	1	1	0			1.333	++ | Use this skill when creating or reviewing frontend UI where visual quality matters. | ## Workflow	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add review checklist and migration note			YES	
frontend-design	63	Rain120/qq-music-api	skills/frontend-design/SKILL.md	next	https://github.com/Rain120/qq-music-api/blob/next/skills/frontend-design/SKILL.md	compatibility-wrapper	0.45	1	1	-0.9699786458987565	0	6	0	1	3	0		canonical skill; compatibility wrapper; frontmatter: canonical_skill	1.0	++ | This is a project-facing compatibility wrapper. | - Canonical skill: `../../.skills/frontend-design/SKILL.md`	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add canonical-path compatibility wrapper redirect			YES	
frontend-design	64	matteocervelli/llms	.archive/frontend-design-system/skills/_archive/frontend-design-fix-vue/SKILL.md	main	https://github.com/matteocervelli/llms/blob/main/.archive/frontend-design-system/skills/_archive/frontend-design-fix-vue/SKILL.md	no-label	0.337	1	1	-0.07009169702298707	26	6	0	1	0	0			1.231	++ | # Frontend Design Fix - Vue | ## Overview	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Adapt to framework-specific (Vue) application			PARTIAL	
frontend-design	65	phoroth/AGENTIC	plugins/ecc/skills/frontend-design-direction/SKILL.md	main	https://github.com/phoroth/AGENTIC/blob/main/plugins/ecc/skills/frontend-design-direction/SKILL.md	no-label	0.399	1	2	-0.49390780052757194	6	6	0	0	1	0	do not use		2.0	++ | # Frontend Design Direction | Use this skill when the work is not just making UI function, but making it feel	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL				NO	
frontend-design	66	zangxin75/openclaw-skills	frontend-design-ultimate/SKILL.md	main	https://github.com/zangxin75/openclaw-skills/blob/main/frontend-design-ultimate/SKILL.md	no-label	0.332	1	3	0.2713226981534983	39	6	4	1	0	0			1.154	++ | # Frontend Design Ultimate | Create distinctive, production-grade static sites from text requirements alone. No mockups, no Figma — just describe wha	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add extreme-tone commitment rule			MAYBE	
frontend-design	67	majiayu000/claude-skill-registry-data	data/frontend-design-review/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/data/frontend-design-review/SKILL.md	no-label	0.336	1	3	0.49202361512372816	19	6	0	1	0	0			1.316	++ | # Frontend Design Review | ## Overview	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL				NO	
frontend-design	68	CUBETIQ/cubis-foundry	workflows/workflows/agent-environment-setup/platforms/antigravity/skills/frontend-design-style-selector/SKILL.md	main	https://github.com/CUBETIQ/cubis-foundry/blob/main/workflows/workflows/agent-environment-setup/platforms/antigravity/skills/frontend-design-style-selector/SKILL.md	no-label	0.332	1	1	-0.8300464765732948	5	6	0	1	0	0			1.833	++ | # Frontend Design Style Selector | ## Purpose	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add style-selector pre-gate before any screen work			YES	
